Competitor,Prelim.,Stage I,Stage II,Stage III,Final
George Li,1,0,0,0,0
Alexei Tartakovsky,1,0,0,0,0
Alexia Mouza,0,0,0,0,0
Mariko Nogami,0,0,0,0,0
Rikono Takeda,1,1,1,0,0
Zhi Chao Julian Jia,1,0,0,0,0
Soo Jung Ann,1,1,1,1,0
Chao Wang,1,0,0,0,0
Georgijs Osokins,0,0,0,0,0
Yuliya Yermalayeva,1,0,0,0,0
Łukasz Mikołajczyk,1,1,0,0,0
Minsoo Hong,0,0,0,0,0
Nao Mieno,0,0,0,0,0
Haoguo Chen,0,0,0,0,0
Qi Xu,0,0,0,0,0
Su Yeon Kim,1,1,0,0,0
Motohiro Sato,0,0,0,0,0
Yoonji Kim,0,0,0,0,0
Nagino Maruyama,0,0,0,0,0
Alexandra Sikorskaya,0,0,0,0,0
Eriko Gomita,1,1,0,0,0
Łukasz Piotr Byrdy,0,0,0,0,0
Tymoteusz Bies,1,0,0,0,0
Yuchong Wu,0,0,0,0,0
Michał Dziewior,0,0,0,0,0
Xin Luo,1,0,0,0,0
Honggi Kim,1,0,0,0,0
Anastasiia Nesterova,1,0,0,0,0
Aleksandra Hortensja Dąbek,1,1,0,0,0
Cristian Ioan Sandrin,0,0,0,0,0
Wenbin Jin,0,0,0,0,0
Ruslan Kazakov,0,0,0,0,0
Boyang Shi,1,1,1,0,0
Shaun Yung Sheng Choo,0,0,0,0,0
Cheng Zhang,0,0,0,0,0
Airi Katada,1,1,0,0,0
Zuzanna Pietrzak,1,1,1,0,0
Nathalia Milstein,1,1,0,0,0
Zhu Wang,1,0,0,0,0
Jiyeong Mun,0,0,0,0,0
Michelle Candotti,1,0,0,0,0
Chuhan Zhang,0,0,0,0,0
Dmitry Shishkin,1,1,1,0,0
Ning Zhou,1,1,1,1,1
Markiyan Popil,0,0,0,0,0
Joshua Wright,1,0,0,0,0
Valentin Cotton,0,0,0,0,0
Galina Chistiakova,0,0,0,0,0
Grzegorz Niemczuk,0,0,0,0,0
Irina Chistiakova,1,0,0,0,0
Fuyuko Nakamura,0,0,0,0,0
Yihao Li,1,0,0,0,0
Annie Zhou,1,0,0,0,0
Chi Ho Han,1,0,0,0,0
Ashley Fripp,1,0,0,0,0
Aleksandr Maltsev,1,1,1,1,1
Rina Sudo,1,1,1,1,1
Mayaka Nakagawa,0,0,0,0,0
Piotr Ryszard Pawlak,1,0,0,0,0
Anastasia Zorina,0,0,0,0,0
Linzi Pan,0,0,0,0,0
Victoria Wong,1,1,0,0,0
Chulmin Lee,0,0,0,0,0
Miyako Arishima,1,1,1,1,1
Alexander Ullman,0,0,0,0,0
Anna Ulaieva,0,0,0,0,0
Ning Yuen Li,0,0,0,0,0
Viktor Yuandong Mattsson,0,0,0,0,0
Saskia Giorgini,1,0,0,0,0
Chisaki Doi,1,1,0,0,0
Ronald Noerjadi,1,0,0,0,0
Yurim Lee,0,0,0,0,0
Rafał Błaszczyk,1,0,0,0,0
Marcin Wieczorek,0,0,0,0,0
Vladimir Matusevich,1,0,0,0,0
Weiwen Ma,1,1,0,0,0
EunAe Lee,1,1,0,0,0
Szymon Nehring,1,1,1,1,1
Kotaro Nagano,0,0,0,0,0
Olof Hansen,1,0,0,0,0
Daye Kim,0,0,0,0,0
Tian Lu,1,1,1,0,0
Kiana Reid,0,0,0,0,0
Luigi Carroccia,1,1,0,0,0
Yui Nakamura,0,0,0,0,0
Arisa Onoda,1,0,0,0,0
Misora Ozaki,0,0,0,0,0
Arisa Sakai,1,0,0,0,0
Jinhyung Park,0,0,0,0,0
Anton Gerzenberg,0,0,0,0,0
Thibaud Epp,0,0,0,0,0
Jae Yoon Lee,0,0,0,0,0
Ruoyu Huang,0,0,0,0,0
Mihyun Ahn,1,1,0,0,0
Zi Xu,1,0,0,0,0
Piotr Nowak,1,0,0,0,0
Hsin-Jo Chan,1,1,0,0,0
Tiffany Poon,0,0,0,0,0
Roman Martynov,1,1,0,0,0
Michał Szymanowski,1,1,1,1,1
Anna Han,0,0,0,0,0
Otis William Beasley,0,0,0,0,0
Guillaume Masson,0,0,0,0,0
Evan Wong,1,0,0,0,0
Madoka Fukami,0,0,0,0,0
Kanade Tsurusawa,0,0,0,0,0
Chelsea Wang,0,0,0,0,0
Kausikan Rajeshkumar,0,0,0,0,0
Yu An,0,0,0,0,0
Takuya Kambara,0,0,0,0,0
Tianpeng Yu,0,0,0,0,0
Yasuko Furumi,1,1,1,0,0
Joo Yeon Ka,1,1,1,0,0
